Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2025-07-01,1652709.854271357,976853.4811557789,718859.1648241206,375897.6505862647,206321.9968,11046.1474
2025-08-01,1651078.6016666666,967510.8144166666,713569.6972500001,371722.52016666665,198631.3797,
2025-09-01,1660221.514143095,988236.6012479202,715336.3881863562,373527.33793677203,204164.5965,
2025-10-01,1658211.2761506275,994330.681841004,720053.8163179916,374613.4684518828,210534.7042,13441.3389
2025-11-01,1693688.0050505053,1003408.382828283,729242.4857744109,380531.88863636367,211368.848,
2025-12-01,1742476.4793597304,1059913.9176916596,741592.7933445661,391950.14481887105,211440.2648,
2026-01-01,1729091.7983193279,1032474.3847058824,730393.5205042018,381676.73638655466,206050.8111,17913.9496
2026-02-01,1728183.6797658864,1023953.0510033445,729349.1357023411,381383.0185618729,203335.6825,
2026-03-01,1738571.0446280993,1035003.8313223142,732723.0091735537,388414.5823140496,211839.8804,
2026-04-01,1744758.911111111,1026188.1289711935,735120.1431275719,390464.52962962963,209020.5702,
2026-05-01,,1045775.7348006644,747169.2792358805,396449.1912790698,209367.6221,
