equation,type,predicteur,retard,coefficient
Industrie d'extraction,A_l,Transports,5,-0.0011615235507507267
Industrie d'extraction,A_l,"Électricité, gaz, eau",5,-0.0016412756280447585
Industrie d'extraction,A_l,Services aux entreprises,5,-0.0010485090284037958
Industrie d'extraction,A_l,Administration publique,5,0.012113858946775469
Industrie d'extraction,A_l,Éducation-santé,5,7.932655978229897e-05
Industrie d'extraction,A_l,Autres services,5,-0.0006188777222900046
Construction,constante,,0,0.007002901428577793
Construction,A_l,Industrie de transformation,1,-0.005387402924049435
Construction,A_l,Finances et assurances,1,0.023153324252325403
Construction,A_l,Hébergement-restauration,1,-0.0006186451504384262
Construction,A_l,Pêche,1,-0.00030384730368214285
Construction,A_l,Industrie d'extraction,1,0.003844405724304611
Construction,A_l,Construction,1,0.016163322832048143
Construction,A_l,Information-communication,1,-0.0034111415146836884
Construction,A_l,Immobilier,1,0.07300304908754626
Construction,A_l,Agriculture,1,0.0018371219127727627
Construction,A_l,Commerce,1,0.0075717501614143345
Construction,A_l,Transports,1,-0.0005844049958294191
Construction,A_l,"Électricité, gaz, eau",1,0.004634577074040386
Construction,A_l,Services aux entreprises,1,0.010446601810896327
Construction,A_l,Administration publique,1,0.03186173572750448
Construction,A_l,Éducation-santé,1,0.05035386410477375
Construction,A_l,Autres services,1,0.1135081147049866
Construction,A_l,Industrie de transformation,2,-0.0061434243692176545
Construction,A_l,Finances et assurances,2,-0.000715437125464794
Construction,A_l,Hébergement-restauration,2,-0.005096185862899191
Construction,A_l,Pêche,2,0.001019831553677986
Construction,A_l,Industrie d'extraction,2,0.0006118397700159584
Construction,A_l,Construction,2,-0.010941831905973195
Construction,A_l,Information-communication,2,0.0005973523538547932
Construction,A_l,Immobilier,2,0.005439709657706251
Construction,A_l,Agriculture,2,0.0008577661878490174
Construction,A_l,Commerce,2,-0.006383768299906459
Construction,A_l,Transports,2,-0.004849646307016569
Construction,A_l,"Électricité, gaz, eau",2,0.0028120508312641586
Construction,A_l,Services aux entreprises,2,-0.011563503389088113
Construction,A_l,Administration publique,2,-0.003397280936457815
Construction,A_l,Éducation-santé,2,-0.00871561533740749
Construction,A_l,Autres services,2,-0.010668303492739862
Construction,A_l,Industrie de transformation,3,0.0015219665584752737
Construction,A_l,Finances et assurances,3,-0.0015339919702700338
Construction,A_l,Hébergement-restauration,3,-0.00020962118990918262
Construction,A_l,Pêche,3,-0.00010434484592608931
Construction,A_l,Industrie d'extraction,3,0.0005685105802259516
Construction,A_l,Construction,3,-0.001272100768236537
Construction,A_l,Information-communication,3,0.002238323637847476
Construction,A_l,Immobilier,3,0.0003972351981523613
Construction,A_l,Agriculture,3,-0.00017981180832824268
