;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
        268 Fabrication De produits minéraux divers;188.7;234.567;269.879;283.475;311.18;138.355;163.787;236.903;257.547;142.261;145.382;200.154;108.265;302.883;268.068;213.078;255.621;1650.496;1964.285;1843.097;1731.472;2049.134;2082.825;2126.774;;;;;;;
4 Industrie mécanique et métallurgique;14927.0;17013.0;17667.0;16663.0;18345.0;19840.0;19669.0;19185.0;20407.0;20186.0;19849.0;21298.0;22428.0;25024.0;25207.0;30789.0;35318.0;41790.0;49064.0;44965.0;49029.0;57395.0;56745.0;66429.0;71666.0;78127.0;85239.0;91448.0;98926.0;177884.0;151538.0
    27 Métallurgie;2528.035;2375.502;2465.721;2436.366;2598.905;2831.186;2973.42;3309.646;4701.774;4621.754;5329.471;5306.188;5941.159;7631.961;7800.193;10080.924;12373.852;14389.702;17077.008;14540.908;17600.017;21974.847;19308.043;16999.139;15703.517;15018.198;16563.775;;;;
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;3512.608;3045.906;3208.44;3561.844;4102.38;5790.795;5791.148;7747.951;9564.207;10777.394;13389.946;11157.398;12762.757;16683.338;14495.136;13084.433;;;;;;;
        272 Fabrication de tubes en fonte ou en acier;15.112;18.608;5.321;2.039;2.039;4.25;4.446;4.683;457.87;1004.894;1338.78;714.639;428.978;552.036;641.631;800.659;860.29;938.08;1249.814;1046.028;1522.211;1180.857;1280.726;1341.552;;;;;;;
        273 Première transformation de l'acier;1893.669;1697.874;1779.246;1754.388;1994.334;2239.865;2206.081;2461.737;23.602;33.576;72.043;159.927;284.032;217.871;181.616;76.235;90.972;97.744;109.847;256.68;226.127;273.625;260.335;225.093;;;;;;;
        274 Production de métaux non ferreux;125.648;170.596;196.458;193.853;205.981;179.402;225.063;205.09;706.51;534.938;680.884;773.778;1055.597;987.598;1101.507;1368.184;1653.276;2269.166;2001.644;1617.14;2537.08;3434.092;1890.911;1384.525;;;;;;;
        275 Fonderie;493.606;488.424;484.696;486.086;396.551;407.669;537.83;638.136;1.184;2.44;28.719;95.303;69.445;82.887;83.345;86.874;203.8;303.702;321.534;458.565;543.587;402.935;1380.935;963.536;;;;;;;
    28 Travail des métaux;5482.476;6410.551;7108.33;7041.368;7425.708;8297.411;7549.428;8224.451;6434.643;6177.512;5735.0;6263.068;6496.758;7411.366;8182.304;10081.804;11293.194;12685.558;14439.182;13205.819;13871.841;16054.094;15797.987;15544.137;15188.017;15340.465;16729.3;;;;
        281 Fabrication d'éléments en métal pour la construction;867.29;1334.504;1583.221;1806.32;1524.904;1552.36;1218.323;1420.924;1678.414;1828.181;1775.141;2393.791;2433.514;2804.712;3280.124;3939.472;4465.523;5308.129;5737.636;5686.48;5439.473;6659.436;7314.831;7213.062;;;;;;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;805.657;952.566;886.886;580.053;513.866;547.378;611.196;755.363;707.733;706.957;654.61;645.814;735.996;656.326;800.436;792.062;;;;;;;
        283 Chaudronnerie;1042.374;1025.533;1214.126;1147.41;1566.751;2108.353;1998.53;1875.195;89.775;65.465;64.678;68.978;35.793;10.23;14.975;105.172;17.405;17.011;16.446;51.348;56.674;65.286;13.199;14.338;;;;;;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;0.347;0.36;1.062;1.065;186.643;328.729;97.119;99.979;101.839;432.502;385.191;495.619;534.479;659.712;850.887;689.549;537.404;653.624;523.94;879.51;;;;;;;
