;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        300 Fabrication de machines de bureau et de matériel informatique;15.747;18.945;5.835;10.98;13.111;9.121;24.569;15.726;;;;0.044;;0.083;1.781;1.712;4.189;3.978;3.698;1.453;0.003;1.962;4.717;0.324;;;;;;
    34 Industrie automobile;196.073;245.61;132.418;153.54;180.595;214.128;136.013;210.587;325.315;231.895;192.902;206.943;278.185;202.516;67.765;217.806;220.692;173.409;642.158;365.401;2425.276;5528.467;3461.74;508.412;405.807;465.144;610.024;;;
        341 Construction de véhicules automobiles;95.707;132.129;45.577;44.731;64.162;101.107;65.889;130.608;285.739;154.316;101.873;121.023;181.224;69.212;39.289;144.834;115.368;74.768;396.557;266.255;2350.779;5160.718;2890.918;135.575;;;;;;
        342 Fabrication de carrosserie et remorques;0.13;0.13;0.13;0.13;0.13;0.13;0.392;0.347;17.422;17.554;16.765;11.855;4.435;4.74;3.558;21.546;73.412;67.887;182.834;86.673;46.735;54.379;57.032;37.031;;;;;;
        343 Fabrication d'équipements automobiles;100.236;113.351;86.711;108.679;116.303;112.891;69.732;79.632;22.154;60.025;74.264;74.065;92.526;128.564;24.918;51.426;31.912;30.754;62.767;29.341;30.468;313.37;513.79;335.806;;;;;;
    35 Fabrication d'autres matériels de transport;29.646;44.514;26.47;17.644;16.916;14.65;12.818;14.222;13.525;17.298;10.539;34.208;44.389;26.489;15.884;55.785;83.604;94.418;201.235;280.319;199.165;161.837;144.056;215.914;139.44;221.897;274.263;;;
        351 Construction navale;11.477;7.99;9.773;7.679;4.465;6.552;2.594;3.484;5.642;8.157;5.141;31.208;38.538;18.135;10.482;5.807;16.109;8.424;14.253;10.407;2.033;2.311;1.543;0.768;;;;;;
        352 Construction de matériel ferroviaire roulant;1.655;31.367;1.742;1.049;1.099;1.099;;;0.549;;0.316;;1.488;2.265;0.14;;;7.061;13.919;11.664;9.896;12.696;10.238;10.375;;;;;;
        353 Construction aéronautique et spatiale;;;;;;;;;;;;;;;;39.014;61.003;76.354;167.966;248.688;182.517;143.549;125.005;199.297;;;;;;
        354 Fabrication de motocycles et de bicyclettes;16.431;4.583;12.168;7.993;9.35;6.956;10.183;10.724;7.064;8.9;4.292;2.898;4.206;6.089;5.259;10.961;6.492;2.579;4.981;9.412;4.621;3.281;7.27;5.474;;;;;;
