;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020
        274 Production de métaux non ferreux;12.073;33.941;33.88;84.58;69.187;68.614;82.197;35.01;155.092;115.43;129.012;162.346;243.213;211.922;356.69;494.356;335.98;493.376;310.208;616.434;595.157;556.4412;343.8141;391.8319;;;;;;
        275 Fonderie;68.009;54.266;52.181;52.95;60.597;65.713;52.233;59.627;0.405;1.24;19.766;30.714;32.848;31.791;19.916;28.799;69.697;96.611;98.477;156.512;133.036;123.3656;329.9769;256.926;;;;;;
    28 Travail des métaux;1422.83046;1681.17385;1918.51559;1877.70057;1858.02934;1903.74204;1842.92845;1964.04013;2087.9027;2291.4727;2173.19016;2066.2284;2045.4966;2214.2909;2468.6877;2598.9435;2951.5945;3080.8431;3449.76513;3699.78667;3638.66745;3654.6378;3738.8338;3851.0671;4887.628;4111.486;4427.514;;;
        281 Fabrication d'éléments en métal pour la construction;236.86;475.175;596.99;590.636;523.808;525.857;378.46;440.553;501.928;729.004;775.405;804.295;722.599;801.526;861.069;918.218;1126.133;1191.553;1421.473;1960.44;1527.799;1663.7489;1979.5738;2004.1235;;;;;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;336.422;373.779;317.624;205.853;177.473;191.399;232.667;265.528;251.645;254.486;197.575;209.664;209.242;185.0592;178.882;218.3686;;;;;;
        283 Chaudronnerie;292.32;260.098;287.979;336.915;402.564;417.496;533.448;539.375;39.153;31.156;31.671;44.792;24.566;3.131;4.741;3.786;3.691;4.731;4.748;21.697;18.976;26.4774;3.3949;1.9368;;;;;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;0.028;0.024;0.19;0.192;56.76;98.428;32.014;18.137;16.064;174.61;152.372;155.653;164.507;179.013;214.626;197.685;188.227;202.9791;196.5435;268.0426;;;;;;
"        285 Traitement des métaux ; mécanique générale";50.943;55.532;37.691;45.706;41.178;48.7;46.929;46.543;354.492;242.553;201.726;301.378;385.93;450.356;418.558;555.659;637.487;236.155;250.002;280.746;288.362;308.373;283.2531;325.8757;;;;;;
        286 Fabrication de coutellerie, d'outillage et de quincailler;286.754;236.123;339.814;267.864;176.778;173.16;178.964;212.39;91.208;89.969;105.721;96.617;87.444;92.907;79.171;122.688;131.272;138.015;61.938;56.004;55.633;77.6583;83.9283;76.6809;;;;;;
        287 Fabrication d'autres ouvrages en métaux;555.973;654.259;656.063;636.605;713.699;738.523;704.726;724.782;707.728;726.324;695.936;579.808;616.844;485.675;704.469;551.004;607.828;1046.674;1268.956;929.2;1304.3;1190.3419;1013.2582;956.039;;;;;;
    29 Fabrication de machines et équipements;594.6364;649.99922;697.2724;680.5127;804.57512;680.6425;738.66592;648.5951;523.81984;574.01288;482.8512;511.5783;693.7565;679.5591;574.8846;637.5084;745.1748;859.7775;1257.1615;933.946;844.2977;872.4634;838.2182;826.5431;777.578;752.348;679.0099;;;
        291 Fabrication d'équipements mécaniques;243.069;260.944;291.538;298.851;287.215;230.456;248.038;234.626;125.104;142.907;113.072;160.88;198.699;158.453;118.602;159.253;159.245;191.014;209.946;200.869;187.054;186.2102;172.7626;145.0066;;;;;;
        292 Fabrication de machines d'usage général;182.094;171.113;190.256;179.454;225.57;199.308;196.406;170.714;133.69;148.471;146.32;140.473;163.616;193.316;199.677;220.123;273.721;242.229;289.86;295.926;328.632;299.1129;318.3982;345.5467;;;;;;
        293 Fabrication de machines agricoles;73.905;91.692;80.418;68.836;87.174;71.13;109.767;95.846;59.042;47.16;35.446;41.125;43.153;48.785;39.45;39.404;88.212;125.636;156.758;149.71;85.345;143.2865;122.9386;155.7866;;;;;;
        294 Fabrication de machines-outils;17.371;16.096;18.615;26.307;17.081;11.931;10.427;7.623;6.311;4.51;0.238;4.389;8.677;5.203;16.787;20.181;17.581;20.527;18.82;18.395;18.251;24.8851;20.9637;19.3783;;;;;;
        295 Fabrication d'autres machines d'usage spécifique;31.358;52.468;65.907;58.286;61.246;44.698;44.742;29.829;45.444;44.71;20.104;16.949;18.679;20.43;19.826;15.867;17.734;23.443;23.62;23.338;10.667;13.0176;9.5098;13.3594;;;;;;
        297 Fabrication d'appareils domestiques;46.851;57.696;50.547;48.789;126.307;123.121;129.306;109.975;154.231;186.259;167.675;147.773;260.609;252.951;180.131;182.322;188.268;256.493;557.636;245.058;213.684;205.9511;193.6453;147.4655;;;;;;
    30 Fabrication de machines de bureau et de matériel informatique;49.3763;61.2321;54.6204;43.6163;48.68478;40.0177;68.1926;66.58539999999999;21.3923;10.2491;7.6146;1.8198;1.2554;5.5194;38.8224;26.3848;26.9175;36.1816;59.7089;51.9107;9.6645;12.0912;8.6269;12.3409;11.591;9.268;10.1121;;;
        300 Fabrication de machines de bureau et de matériel informatique;49.376;61.233;54.623;43.617;48.686;40.017;68.191;66.584;21.392;10.249;7.614;1.821;1.255;5.519;38.823;26.385;26.918;36.183;59.709;51.911;9.665;12.0912;8.6269;12.3409;;;;;;
    34 Industrie automobile;1218.81693;1438.55964;1389.60847;1485.51422;1557.61174;1736.34533;1960.7926;2030.7463;1887.8588;1803.6038;1570.4283;1852.1344;1884.4265;1783.0158;1415.9715;1386.4473;1248.4185;1379.5893;1595.7314;1592.6161;1678.3295;2434.9704;2867.1681;3445.9382;3912.182;5020.875;4803.3277;;;
        341 Construction de véhicules automobiles;684.416;831.971;729.045;813.379;860.261;973.935;1138.422;1215.555;1274.294;1230.933;1046.714;1235.583;1240.667;1141.747;762.672;808.822;511.574;609.461;813.426;1081.532;1044.901;1415.3565;2238.1327;2393.3172;;;;;;
        342 Fabrication de carrosserie et remorques;228.842;252.566;327.646;321.423;282.198;296.227;346.854;357.057;465.033;404.571;361.928;379.268;394.635;395.623;396.081;357.651;520.024;599.575;639.111;340.872;464.521;835.2684;400.8572;402.7657;;;;;;
        343 Fabrication d'équipements automobiles;305.564;354.024;332.917;350.715;415.154;466.184;475.518;458.132;148.534;168.105;161.789;237.288;249.124;245.649;257.222;219.978;216.826;170.555;143.199;172.539;172.584;184.3455;228.1782;649.8553;;;;;;
    35 Fabrication d'autres matériels de transport;196.6231;225.1299;249.358;300.6478;314.1012;297.2947;220.6238;311.0198;244.0842;260.84;283.5249;291.6837;307.0318;347.1445;393.8644;424.6718;511.1448;690.85;1055.9336;898.1789;904.4247;961.5577;1232.0878;1457.9274;1397.707;1618.122;1686.1757;;;
        351 Construction navale;50.848;48.58;50.777;65.861;86.889;85.311;79.534;86.715;88.175;100.521;87.478;114.826;110.256;130.69;133.648;116.979;135.089;133.868;131.399;139.263;111.47;105.8493;93.789;81.2287;;;;;;
        352 Construction de matériel ferroviaire roulant;48.312;64.476;71.038;80.919;89.627;80.105;13.837;34.748;21.751;;31.747;1.587;23.693;22.911;17.48;;;136.28;204.618;77.68;83.729;65.8091;189.6688;301.4464;;;;;;
        353 Construction aéronautique et spatiale;34.289;43.148;39.637;44.43;44.558;46.369;42.798;35.097;33.554;67.243;91.066;91.37;93.87;112.433;152.033;208.228;273.436;301.799;582.52;552.862;625.62;694.568;849.7257;972.164;;;;;;
        354 Fabrication de motocycles et de bicyclettes;56.513;65.673;84.104;105.522;89.643;82.589;81.732;151.035;96.503;89.767;70.317;80.929;77.425;78.968;88.357;97.464;100.127;116.517;133.872;126.732;81.578;93.9186;97.1917;99.8077;;;;;;
        355 Matériels de transport n.c.a;6.661;3.259;3.804;3.917;3.383;2.921;2.727;3.426;4.104;3.31;2.917;2.976;1.79;2.148;2.347;2.002;2.491;2.388;3.529;1.645;2.032;1.4127;1.7126;3.2806;;;;;;
