,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
2020-04-01,32417.7717,6797.2547,11320.1109,20201.8912,16344.5064,90.8,113.2,62.3,88.7,55.8,64.8,46.8,29.4,105.6,89.0,153.9,91.8,75.7,68.8,36.3,49.3,95.5,63.6,66.4,61.4,80.0,69.5,76.0,63.3,22988.0091,6512.5802,3569.8672,1191.89,5815.5537,3436.0058,11482.5211,5090.4253,6381.3242,2376.6451
2020-07-01,34257.3862,7151.3697,10927.1435,19298.1055,16770.7613,104.1,113.7,99.5,101.1,72.8,90.7,56.3,71.9,100.9,73.5,147.5,96.9,92.4,91.1,90.3,73.2,78.4,84.1,113.3,96.6,80.0,84.7,88.9,98.8,24902.7341,6405.7673,3970.2553,1191.519,5314.5119,3494.509,10603.8475,4633.2148,6646.6147,2338.1681
2020-10-01,33486.8451,7222.4228,10281.8628,18818.8206,19172.1584,115.7,114.1,123.5,101.2,91.6,83.5,58.9,90.7,117.3,115.4,149.2,119.1,115.7,103.7,106.6,96.7,94.9,114.7,132.7,130.1,117.1,107.8,94.5,107.5,23755.1291,6476.6418,4238.9887,1141.2967,5893.1647,2384.5433,10544.8087,4473.7335,7621.9271,2708.9478
2021-01-01,33300.3852,7406.2954,11493.3987,19557.9798,20668.5206,114.7,134.1,80.5,92.4,105.3,107.5,75.0,91.3,146.8,124.4,148.3,129.8,127.8,99.4,81.0,89.9,75.1,102.5,86.0,103.4,156.6,71.5,88.7,103.1,23478.7754,6481.0866,4374.8777,1212.3483,6332.8023,3203.7881,11201.2784,4579.7568,8576.4693,2822.8802
2021-04-01,35183.8163,7476.0679,12492.0223,19688.0627,20073.4622,108.9,117.3,74.8,89.0,80.5,96.5,62.0,46.2,114.0,106.6,154.6,108.2,135.5,95.3,72.0,69.5,98.7,107.9,121.5,113.8,87.8,74.5,89.9,97.6,25509.9891,6258.4557,4530.5703,1180.2195,7637.27,2826.6834,12155.4973,3903.1312,8424.9839,2692.2668
2021-07-01,36368.1384,7876.2554,10693.4353,20109.5093,22070.0163,107.5,123.8,100.5,103.7,81.2,96.9,62.5,93.6,105.7,83.8,142.6,105.4,99.3,95.9,104.8,76.9,81.0,103.2,125.1,85.2,86.2,85.8,80.8,101.6,26825.7719,6687.3927,4607.2567,1418.4498,6463.8271,2190.4736,11471.7982,4783.9785,9210.5952,3453.8092
2021-10-01,37127.3452,8057.411,9600.7623,20317.2603,22393.4598,121.6,126.9,117.9,101.8,96.4,91.2,58.9,110.0,125.0,123.1,145.8,118.4,125.1,109.6,107.1,146.5,76.6,115.9,129.6,139.9,121.9,110.0,81.9,146.2,26745.9064,6591.5939,4668.879,1546.2867,5908.5963,1740.7183,11763.1622,4546.2192,9436.712,3692.9332
2022-01-01,39245.7377,8106.3026,9870.0939,20347.6238,22458.398,112.1,132.4,81.2,92.8,102.9,105.8,76.5,84.5,142.1,132.6,135.5,142.7,123.7,99.0,82.2,88.6,72.8,99.0,88.3,100.7,160.8,75.1,79.3,85.9,28507.9969,6870.672,4759.7875,1447.4767,6433.6031,1647.1745,12168.2944,4378.3132,9598.059,3615.4514
2022-04-01,41027.143,8122.2573,10177.5432,22460.9174,23380.1205,110.9,127.0,76.9,89.0,88.3,98.6,76.4,44.9,117.7,133.2,143.7,107.9,138.8,88.4,85.3,72.0,92.0,131.8,115.3,132.9,91.9,82.9,89.7,95.8,30861.5539,6686.5507,4813.1941,1409.277,6921.9131,1501.4524,14191.6135,4212.3813,10580.0141,3423.8991
2022-07-01,41569.6205,8082.5367,11445.6639,23893.4311,24588.1879,110.8,134.4,103.9,123.2,80.6,90.4,78.4,114.2,90.0,103.2,134.8,130.1,99.4,85.1,112.0,88.8,83.5,89.6,115.7,103.7,94.7,96.0,82.1,98.1,31417.1989,6664.0015,4849.1276,1361.4131,8130.0538,1543.2421,15774.9953,4071.8842,11830.2518,3311.8097
